split,speaker,noise,noise_group,snr_target_db,candidate_id,family,method,input_snr_db,output_snr_db,snr_improvement_db,input_si_sdr_db,output_si_sdr_db,si_sdr_improvement_db,processing_ms,rtf
validation,jackson,dkitchen_ch01_seg03,DKITCHEN,10,noisy,baseline,noisy,10.000000355147929,10.000000355147929,0.0,10.001400294335113,10.001400294335113,0.0,0.03370000013092067,1.1233333376973556e-05
validation,jackson,dkitchen_ch01_seg03,DKITCHEN,10,stft_subtraction_default_initial,stft_subtraction_default,stft_subtraction,10.000000355147929,6.848043612656807,-3.151956742491122,10.001400294335113,7.463170678928398,-2.538229615406715,13.97210000004634,0.004657366666682113
validation,jackson,dkitchen_ch01_seg03,DKITCHEN,10,stft_wiener_default_initial,stft_wiener_default,stft_wiener,10.000000355147929,8.559215784700788,-1.440784570447141,10.001400294335113,8.436677959931188,-1.5647223344039247,6.54949999989185,0.002183166666630617
validation,jackson,dkitchen_ch01_seg03,DKITCHEN,10,wavelet_default_db4_l5_soft,wavelet_default,wavelet_soft,10.000000355147929,8.680262810873549,-1.3197375442743802,10.001400294335113,8.049400294948716,-1.9519999993863966,2.1695999998883053,0.0007231999999627684
validation,jackson,dkitchen_ch01_seg03,DKITCHEN,10,sub_n512_h160_low_energy_q0.35_a1.5_f0.02,stft_subtraction,stft_subtraction,10.000000355147929,12.048072074337648,2.0480717191897195,10.001400294335113,13.290077729137952,3.288677434802839,13.636299999916446,0.004545433333305482
validation,jackson,dkitchen_ch01_seg03,DKITCHEN,10,wiener_n512_h160_low_energy_q0.35_f0.05,stft_wiener,stft_wiener,10.000000355147929,13.133915014221625,3.133914659073696,10.001400294335113,12.929470200694162,2.928069906359049,7.008699999914825,0.0023362333333049414
validation,jackson,dkitchen_ch01_seg03,DKITCHEN,10,wavelet_sym4_l3_hard_global_s0.5,wavelet,wavelet_soft,10.000000355147929,10.215026050106818,0.21502569495888935,10.001400294335113,10.182273538301008,0.18087324396589466,1.0968000001412292,0.00036560000004707643
validation,jackson,ooffice_ch01_seg01,OOFFICE,-5,noisy,baseline,noisy,-4.999999920085023,-4.999999920085023,0.0,-5.002601400457255,-5.002601400457255,0.0,0.022499999886349542,7.499999962116514e-06
validation,jackson,ooffice_ch01_seg01,OOFFICE,-5,stft_subtraction_default_initial,stft_subtraction_default,stft_subtraction,-4.999999920085023,-1.8881447903220963,3.111855129762927,-5.002601400457255,-5.51653429821978,-0.5139328977625244,9.766900000158785,0.0032556333333862617
validation,jackson,ooffice_ch01_seg01,OOFFICE,-5,stft_wiener_default_initial,stft_wiener_default,stft_wiener,-4.999999920085023,-3.3122569702294102,1.687742949855613,-5.002601400457255,-5.534797694283963,-0.5321962938267077,4.929400000037276,0.0016431333333457587
validation,jackson,ooffice_ch01_seg01,OOFFICE,-5,wavelet_default_db4_l5_soft,wavelet_default,wavelet_soft,-4.999999920085023,-5.00787953714349,-0.007879617058466515,-5.002601400457255,-5.449792857573247,-0.4471914571159914,1.467300000058458,0.000489100000019486
validation,jackson,ooffice_ch01_seg01,OOFFICE,-5,sub_n512_h160_low_energy_q0.35_a1.5_f0.02,stft_subtraction,stft_subtraction,-4.999999920085023,-2.5802711728890326,2.4197287471959905,-5.002601400457255,-5.974902082704059,-0.9723006822468037,9.86560000001191,0.0032885333333373032
validation,jackson,ooffice_ch01_seg01,OOFFICE,-5,wiener_n512_h160_low_energy_q0.35_f0.05,stft_wiener,stft_wiener,-4.999999920085023,-4.275346391582229,0.7246535285027944,-5.002601400457255,-5.851028834958151,-0.8484274345008957,5.6965999999647465,0.0018988666666549154
validation,jackson,ooffice_ch01_seg01,OOFFICE,-5,wavelet_sym4_l3_hard_global_s0.5,wavelet,wavelet_soft,-4.999999920085023,-4.999670679005631,0.0003292410793918066,-5.002601400457255,-5.007115796789749,-0.004514396332493398,1.8758000001071196,0.0006252666667023732
validation,jackson,ooffice_ch01_seg01,OOFFICE,0,noisy,baseline,noisy,8.499012771670105e-08,8.499012771670105e-08,0.0,-0.001230302761457045,-0.001230302761457045,0.0,0.018799999907059828,6.266666635686609e-06
validation,jackson,ooffice_ch01_seg01,OOFFICE,0,stft_subtraction_default_initial,stft_subtraction_default,stft_subtraction,8.499012771670105e-08,2.097978439454773,2.097978354464645,-0.001230302761457045,-0.8062909250250505,-0.8050606222635934,10.828500000116037,0.003609500000038679
validation,jackson,ooffice_ch01_seg01,OOFFICE,0,stft_wiener_default_initial,stft_wiener_default,stft_wiener,8.499012771670105e-08,1.2010683376071114,1.2010682526169836,-0.001230302761457045,-0.7959825426800081,-0.794752239918551,6.8905000000540895,0.0022968333333513633
validation,jackson,ooffice_ch01_seg01,OOFFICE,0,wavelet_default_db4_l5_soft,wavelet_default,wavelet_soft,8.499012771670105e-08,-0.01938143705692054,-0.019381522047048256,-0.001230302761457045,-0.31869475645277123,-0.3174644536913142,2.0322000000305707,0.0006774000000101902
validation,jackson,ooffice_ch01_seg01,OOFFICE,0,sub_n512_h160_low_energy_q0.35_a1.5_f0.02,stft_subtraction,stft_subtraction,8.499012771670105e-08,2.3654922807075143,2.3654921957173864,-0.001230302761457045,0.23940122478200304,0.2406315275434601,12.56850000004306,0.004189500000014353
validation,jackson,ooffice_ch01_seg01,OOFFICE,0,wiener_n512_h160_low_energy_q0.35_f0.05,stft_wiener,stft_wiener,8.499012771670105e-08,0.8812923691632589,0.8812922841731312,-0.001230302761457045,-0.08057878871065412,-0.07934848594919708,9.346300000061092,0.0031154333333536974
validation,jackson,ooffice_ch01_seg01,OOFFICE,0,wavelet_sym4_l3_hard_global_s0.5,wavelet,wavelet_soft,8.499012771670105e-08,-0.00023968170603577048,-0.0002397666961634872,-0.001230302761457045,-0.004198529650032087,-0.0029682268885750417,1.65130000004865,0.00055043333334955
validation,jackson,ooffice_ch01_seg01,OOFFICE,5,noisy,baseline,noisy,5.000000162923479,5.000000162923479,0.0,4.999540701202706,4.999540701202706,0.0,0.023099999907572055,7.699999969190685e-06
validation,jackson,ooffice_ch01_seg01,OOFFICE,5,stft_subtraction_default_initial,stft_subtraction_default,stft_subtraction,5.000000162923479,4.851068881015933,-0.14893128190754634,4.999540701202706,3.1789740575899645,-1.8205666436127417,12.231100000008155,0.004077033333336051
validation,jackson,ooffice_ch01_seg01,OOFFICE,5,stft_wiener_default_initial,stft_wiener_default,stft_wiener,5.000000162923479,4.929753326249497,-0.07024683667398257,4.999540701202706,3.42334634822171,-1.576194352980996,6.17340000007971,0.0020578000000265697
