amostra,ruido,grupo_ruido,snr_alvo_db,snr_entrada_observado_db,metodo,snr_saida_db,melhoria_snr_db,mse,si_sdr_db,tempo_processamento_s,duracao_audio_s,rtf,latencia_algoritmica_ms,memoria_aproximada_kb
speech_jackson,straffic_ch01_seg03,STRAFFIC,5,4.999999992448677,noisy,4.999999992448677,0.0,0.007962397648596384,4.975144214806978,8.200004231184721e-06,3.0,2.7333347437282405e-06,0.0,187.5
speech_jackson,straffic_ch01_seg03,STRAFFIC,5,4.999999992448677,stft_subtraction,10.508103855885318,5.5081038634366415,0.002239924996567154,10.14190006800322,0.007594499998958781,3.0,0.0025314999996529273,32.0,1788.9609375
speech_jackson,straffic_ch01_seg03,STRAFFIC,5,4.999999992448677,stft_wiener,8.70611298796389,3.7061129955152126,0.003391818177929245,8.48708737343186,0.004891299999144394,3.0,0.0016304333330481313,32.0,1788.9609375
speech_jackson,straffic_ch01_seg03,STRAFFIC,5,4.999999992448677,wavelet_soft,5.115310403495562,0.11531041104688544,0.00775376834116147,4.532591479591881,0.0011973000000580214,3.0,0.0003991000000193405,32.0,375.25
speech_jackson,straffic_ch01_seg03,STRAFFIC,10,10.000000429426894,noisy,10.000000429426894,0.0,0.0025179309671150515,9.986186390957352,8.700000762473792e-06,3.0,2.9000002541579306e-06,0.0,187.5
speech_jackson,straffic_ch01_seg03,STRAFFIC,10,10.000000429426894,stft_subtraction,14.584410855456934,4.58441042603004,0.0008761990470437731,14.602105192561952,0.007252600000356324,3.0,0.002417533333452108,32.0,1788.9609375
speech_jackson,straffic_ch01_seg03,STRAFFIC,10,10.000000429426894,stft_wiener,13.3180754805474,3.3180750511205055,0.0011728333694845652,13.21858284560318,0.004632800002582371,3.0,0.001544266667527457,32.0,1788.9609375
speech_jackson,straffic_ch01_seg03,STRAFFIC,10,10.000000429426894,wavelet_soft,9.930226506137718,-0.06977392328917631,0.0025587108541005577,9.604992028522707,0.001178899998194538,3.0,0.00039296666606484604,32.0,375.25
speech_nicolas,dkitchen_ch01_seg01,DKITCHEN,-5,-5.000000014844529,noisy,-5.000000014844529,0.0,0.07699701810541726,-5.029875391753745,9.200004569720477e-06,3.0,3.0666681899068258e-06,0.0,187.5
speech_nicolas,dkitchen_ch01_seg01,DKITCHEN,-5,-5.000000014844529,stft_subtraction,1.9359964513777501,6.93599646622228,0.015591010344632441,1.33189892222355,0.008455399998638313,3.0,0.002818466666212771,32.0,1788.9609375
